"","(Intercept)","days_since_start","lockdown11","lockdown21","lockdown31","days_since_start:lockdown11","days_since_start:lockdown21","days_since_start:lockdown31"
"Warrington",-17.3637667684625,0.0231233581111466,-14.5444234838358,-40.5664466962338,-94.4039745865876,0.163279240280873,0.159611804919584,0.268338753095529
"Warwickshire",-10.0800653450287,0.00283839705726269,-23.8744705686608,-54.2732851905877,-92.8840535700385,0.290141497744554,0.223332531084108,0.268763271294789
"West Berkshire",-18.424701899316,0.0212131539331727,-21.7397328431381,-68.8495963257215,-89.1899346871121,0.23660013561682,0.28365821990372,0.248161645889772
"West Midlands",-15.312589528879,0.0146370577460416,-19.8266573541233,-38.5216039186149,-91.1430375606095,0.237521401876419,0.157854927553825,0.261685370361156
"West Sussex",-10.8801838326317,0.00826675490886879,-25.2730423123663,-63.4974062838745,-99.2496798850294,0.286306816185418,0.263333839351823,0.282465542242049
"West Yorkshire",-14.4138301117673,0.013109030190532,-20.4985581171063,-45.5268220111508,-82.8912091319321,0.250525453543863,0.186984800445171,0.241969619149648
"Wiltshire",-12.223215391009,-0.0031092155399694,-25.329280306065,-70.5203533008354,-102.016911426778,0.281817544791936,0.278893092309067,0.293279397525653
"Windsor and Maidenhead",-9.8305572794467,-0.00875919069656709,-26.8771376116159,-49.6246385920057,-90.8374975213841,0.329971255370285,0.203457759779374,0.263277884084697
"Wokingham",-26.5318146694951,0.0510129703887855,-17.741893403214,-22.6362203606092,-76.4204026625093,0.254063316174426,0.104667692681041,0.202231067483814
"Worcestershire",-18.80436945142,0.0413757757469067,-18.5197143401924,-75.9396292975047,-90.6667053689153,0.24687750839236,0.303647290951037,0.242588827551651
"York",-19.57852657029,0.0423618829766045,-23.9807278690701,-69.2326392753578,-111.346023323728,0.202487432986433,0.269624980734394,0.299506340242854
