"","(Intercept)","days_since_lockdown","bank_holiday1","dayMonday","dayTuesday","dayWednesday","dayThursday","dayFriday","daySaturday"
"Southampton",14.6529777039766,-0.0865341705152819,8.20931710860879,5.7392463632747,6.90640167436389,7.20256624807568,7.07373082178749,7.67964385172883,1.98013249615138
"Southend-on-Sea",13.7465933267604,-0.0933319495615172,9.07137667998547,8.28857350422916,8.78666389912303,9.15333402521922,9.72000415131545,9.40857765554457,3.37333471710514
"Staffordshire",13.179435421099,-0.0864044419075294,9.27588085724664,5.80134571809109,6.50614221714839,6.73179777904622,7.07412000761074,7.40879905903514,2.71359555809247
"Stockton-on-Tees",12.5019355508276,-0.0811685952986351,10.2223937522703,5.59967567848062,6.02900385726394,6.44691570235067,6.42316088077076,7.15616989258469,2.98549807136803
"Stoke-on-Trent",11.5576617715738,-0.0708992787089408,9.05158009444243,4.26746060574611,4.80846522408454,4.91455036064552,5.18730216387318,5.92142943628594,2.86243405462439
"Suffolk",14.0655146766298,-0.0943178869804368,10.4654921903378,5.59661840762459,6.25530244062753,6.6361743898431,7.11704633905869,6.84699808001658,2.63901544635289
"Surrey",15.8647968450002,-0.0993357895283067,7.51080639302579,9.99861536332659,10.9320049123899,11.6628321052358,11.7686592980817,10.633941328075,2.90066421047169
"Swindon",12.9733312576756,-0.083773545742307,9.35579367962223,7.3267206337675,8.03421375815128,8.7997798937955,8.74867936277308,8.67539999654054,2.64955978759102
"Thurrock",13.7081971182952,-0.097638939338903,12.1614602252089,6.95354159099165,7.26194454534447,7.9178471969972,8.37374984864996,8.39395810630824,2.63569439399442
"Torbay",12.7170619064916,-0.0814539982356908,8.12595350526698,3.20639043121789,4.22957466313805,5.12177300088214,4.68897133862626,5.3620284365108,2.51854600176431
"Tyne and Wear",12.8824658813761,-0.0770276581391728,8.81710860879041,6.08922041755315,6.75405531627834,7.0364861709304,7.30225035891581,7.99147077646894,2.32297234186082
"Warrington",13.0816373480013,-0.0833013336100876,8.588085724664,6.91076228529916,8.43326933388683,8.54168266652827,8.8167626658364,8.32752495113553,2.5166986663899
"Warwickshire",13.901767768495,-0.0861968761351252,8.4823828550672,7.52070468579732,8.37239375227025,8.87356822859909,9.00807603826129,8.79544739072524,2.38046979053154
"West Berkshire",14.2880130766436,-0.0922266618234652,7.45849981837995,10.2616600072648,11.1177866569803,11.4913866690883,11.6566533478629,10.3849800217944,2.70777333817653
"West Midlands",12.8362046598516,-0.0799283898085205,8.06874318924809,6.34201217719198,7.15985677961704,7.17253580509573,7.42688149724111,7.83556034109973,2.72007161019147
"West Sussex",14.2792122878937,-0.0920606092055419,8.0237014166364,7.35714718142978,7.98412121841108,8.74146969539721,8.72381817238337,8.14763202047979,2.84127272412778
"West Yorkshire",13.036697628561,-0.0837112760105858,8.5677442789684,6.8458616574127,7.76742255202117,7.6081443619947,8.41553283863491,8.59472782938091,2.84962205732275
"Wiltshire",14.1564405929462,-0.0910020237662809,8.87686160552125,6.09921125006487,7.44867071419922,8.12116565478351,8.06032726203449,7.75953851209933,2.50899797623371
"Windsor and Maidenhead",15.9891650666805,-0.0979087748430282,6.74300762804214,10.2483749329736,11.2624842163527,12.0260456125785,12.1062736754709,10.4213152751111,2.70209122515697
"Wokingham",16.4273398716551,-0.0961133309117325,6.10424990918998,11.2224966702991,12.5922266618235,12.7436100012108,13.2449933405981,11.5341566775638,2.17055333575493
"Worcestershire",13.4036912113192,-0.0893778215972185,8.78023973846713,6.30402850569941,7.11208897652776,7.41364442253471,7.79853320187501,7.96922837424106,2.97728884506944
"York",16.6079774445194,-0.0970058637330703,6.56629131856157,6.8592531091623,7.4606783941328,7.85983040146678,8.57564907546745,8.76823551796306,2.23632746960026
